time,entropy
0.000000000000000000e+00,1.998401444326051701e-15
1.002004008016032024e-02,2.747607039453290519e-09
2.004008016032064049e-02,1.447917800068388247e-07
3.006012024048096073e-02,1.438713569949254656e-06
4.008016032064128098e-02,7.226933412400415209e-06
5.010020040080159776e-02,2.497792736877081727e-05
6.012024048096192147e-02,6.812385219994155337e-05
7.014028056112224518e-02,1.577190326995592728e-04
8.016032064128256196e-02,3.237518130362919346e-04
9.018036072144287874e-02,6.059887259690238410e-04
1.002004008016031955e-01,1.054274248382886100e-03
1.102204408817635262e-01,1.728251999813574039e-03
1.202404809619238429e-01,2.696513144083381719e-03
1.302605210420841597e-01,4.035213543131876447e-03
1.402805611222444904e-01,5.826231420606313958e-03
1.503006012024047933e-01,8.154960688267130081e-03
1.603206412825651239e-01,1.110785085212562424e-02
1.703406813627254546e-01,1.476981224944114851e-02
1.803607214428857575e-01,1.922160552936472144e-02
1.903807615230460881e-01,2.453732755398724957e-02
2.004008016032063910e-01,3.078209345876582390e-02
2.104208416833667217e-01,3.800999794828994333e-02
2.204408817635270523e-01,4.626241961227440386e-02
2.304609218436873552e-01,5.556671169037673275e-02
2.404809619238476859e-01,6.593530268983702203e-02
2.505010020040079888e-01,7.736521170572832617e-02
2.605210420841683194e-01,8.983796704000344968e-02
2.705410821643286501e-01,1.033199032762231184e-01
2.805611222444889807e-01,1.177628015639239911e-01
2.905811623246493114e-01,1.331048304780995672e-01
3.006012024048095865e-01,1.492717402391025294e-01
3.106212424849699172e-01,1.661782609771694508e-01
3.206412825651302478e-01,1.837296557074829528e-01
3.306613226452905785e-01,2.018233803289776751e-01
3.406813627254509091e-01,2.203508058692789651e-01
3.507014028056111843e-01,2.391989620017400675e-01
3.607214428857715149e-01,2.582522652402048369e-01
3.707414829659318456e-01,2.773941999081204202e-01
3.807615230460921762e-01,2.965089247691593544e-01
3.907815631262525069e-01,3.154827829326968258e-01
4.008016032064127820e-01,3.342056971872029991e-01
4.108216432865731127e-01,3.525724371800234014e-01
4.208416833667334433e-01,3.704837487930036088e-01
4.308617234468937740e-01,3.878473396213189539e-01
4.408817635270541047e-01,4.045787176255231099e-01
4.509018036072144353e-01,4.206018827847650132e-01
4.609218436873747105e-01,4.358498739324204174e-01
4.709418837675350411e-01,4.502651749119836455e-01
4.809619238476953718e-01,4.637999857650644819e-01
4.909819639278557024e-01,4.764163658745233509e-01
5.010020040080159776e-01,4.880862568589044992e-01
5.110220440881763082e-01,4.987913935788608200e-01
5.210420841683366389e-01,5.085231119063415850e-01
5.310621242484969695e-01,5.172820619610591919e-01
5.410821643286573002e-01,5.250778353784417707e-01
5.511022044088176308e-01,5.319285148842134436e-01
5.611222444889779615e-01,5.378601540609435627e-01
5.711422845691382921e-01,5.429061947507433095e-01
5.811623246492986228e-01,5.471068290954855806e-01
5.911823647294588424e-01,5.505083128196834874e-01
6.012024048096191731e-01,5.531622360566532670e-01
6.112224448897795037e-01,5.551247578455241749e-01
6.212424849699398344e-01,5.564558104171571928e-01
6.312625250501001650e-01,5.572182795629694319e-01
6.412825651302604957e-01,5.574771677511843881e-01
6.513026052104208263e-01,5.572987472140369380e-01
6.613226452905811570e-01,5.567497109536242439e-01
6.713426853707414876e-01,5.558963304615064382e-01
6.813627254509018183e-01,5.548036298570016012e-01
6.913827655310621489e-01,5.535345870431856996e-01
7.014028056112223686e-01,5.521493732651424624e-01
7.114228456913826992e-01,5.507046430303357276e-01
7.214428857715430299e-01,5.492528866126360487e-01
7.314629258517033605e-01,5.478418572137321307e-01
7.414829659318636912e-01,5.465140842203518590e-01
7.515030060120240218e-01,5.453064828231833916e-01
7.615230460921843525e-01,5.442500685408795391e-01
7.715430861723446831e-01,5.433697829506136667e-01
7.815631262525050138e-01,5.426844342408404520e-01
7.915831663326653445e-01,5.422067531898243642e-01
8.016032064128255641e-01,5.419435619862660314e-01
8.116232464929858947e-01,5.418960501182860101e-01
8.216432865731462254e-01,5.420601485415252885e-01
8.316633266533065560e-01,5.424269906624721305e-01
8.416833667334668867e-01,5.429834464790299631e-01
8.517034068136272174e-01,5.437127146081661699e-01
8.617234468937875480e-01,5.445949559563170173e-01
8.717434869739478787e-01,5.456079524611101572e-01
8.817635270541082093e-01,5.467277746186453014e-01
8.917835671342685400e-01,5.479294423389557966e-01
